precinct_name,majority
0005 ADORA,rep
0580 OAKHURST,rep
0807 SUNDOWN,rep
0904 WHITEWING,rep
0637 PHELPS,rep
0246 DYNAMITE,rep
0598 PAINTED MOUNTAIN,rep
0211 DESERT HAVEN,rep
0711 ROYAL OAK,rep
0863 VALENCIA GROVES,rep
0513 MESQUITE,rep
0917 WILLIS,rep
0169 CORTESSA,rep
0024 APACHE,rep
0881 WACKER PARK,rep
0894 WESTAR,rep
0388 HUALAPAI,rep
0182 CREEDANCE,rep
0765 SLEEPY RANCH,rep
0186 CROCUS,rep
0689 RIO MONTANA,rep
0840 TONTO,rep
0760 SILVER SPUR,rep
0543 MUSTANG,rep
0453 LIONS,rep
0034 ARROWHEAD RANCH,rep
0290 FOUR PEAKS,rep
0042 AUGUSTA RANCH,rep
0330 GRANITE FALLS,rep
0586 OLIVE,rep
0756 SIERRA VERDE,rep
0210 DESERT HARBOR,rep
0851 TRILOGY,rep
0784 ST CHRISTOPHER,rep
0236 DREAMLAND VILLA,rep
0007 AGUA FRIA,rep
0871 VETERANS OASIS,rep
0413 JUSTINE,rep
0411 JUNIPER,rep
0373 HILLVIEW,rep
0828 TATUM,rep
0022 ANGELA,rep
0919 WILLOW CANYON,rep
0624 PEACH TREE,rep
0295 FREMONT,rep
0077 BREWER,rep
0085 BUNKER PEAK,rep
0902 WESTWORLD,rep
0839 TONOPAH,rep
0801 SUN TRAILS,rep
0145 COLBY,rep
0404 JOHN CABOT,rep
0734 SANTO,rep
0199 DC RANCH,rep
0495 MARTIN,rep
0736 SARIVAL,rep
0812 SUNNYSIDE,rep
0386 HORIZON,rep
0501 MCCORMICK RANCH,rep
0419 KIMBERLY,rep
0180 COYOTE LAKES,rep
0016 ALSUP,rep
0696 RIVIERA,rep
0207 DESERT BLOSSOM,rep
0139 CLOUD,rep
0816 SUNSET HILLS,rep
0750 SHEA,rep
0452 LINDNER,rep
0370 HIGLEY,rep
0346 HALIFAX,rep
0754 SIERRA MADRE,rep
0735 SARATOGA,rep
0234 DOVE VALLEY,rep
0298 FULTON RANCH,rep
0336 GREENFIELD PARK,rep
0159 COPPER HILLS,rep
0723 SAN MICHELLE,rep
0783 SPUR,rep
0143 COBBLE STONE,rep
0658 PORTOBELLO,rep
0901 WESTWOOD,rep
0129 CIELO,rep
0196 DANBURY,rep
0027 APOLLO,rep
0273 EVANS,rep
0351 HARMONY PARK,rep
0610 PALO BLANCO,rep
0549 NIGHTINGALE,rep
0437 LAS COLINAS,rep
0201 DEER VALLEY,rep
0134 CITRUS GROVES,rep
0192 DAHLIA,rep
0583 OASIS,rep
0884 WAHALLA,rep
0249 EASTRIDGE,rep
0229 DOBSON PARK,rep
0091 CALAVAR,rep
0550 NORTERRA,rep
0238 DREYFUS,rep
0006 AGRITOPIA,rep
0060 BILTMORE,rep
0651 POINSETTIA,rep
0597 OVAL,rep
0339 GREER RANCH,rep
0040 ATHENS,rep
0647 PINTO,rep
0725 SAN MONTEGO,other
0681 REEMS,rep
0053 BAYSHORE,rep
0529 MONTE CRISTO,rep
0399 JACKRABBIT,rep
0467 LOOKOUT RIDGE,rep
0821 SURPRISE FARMS,rep
0158 COPPER,rep
0649 POCO BUENO,rep
0448 LIBBY,rep
0433 LANTANA CANYON,rep
0109 CAROL ANN,rep
0823 SUTTON,rep
0758 SIESTA,rep
0524 MOBILE,other
0755 SIERRA PASS,rep
0509 MERCER,rep
0764 SKY VIEW,rep
0727 SAN SIMON,rep
0494 MARLEY PARK,rep
0352 HARQUAHALA,rep
0312 GIDIYUP,rep
0057 BETHANY,rep
0660 POWER RANCH,rep
0652 POINTE,other
0188 CROSSROADS PARK,rep
0913 WILDER,rep
0043 AVIANO,rep
0478 MADISON HEIGHTS,rep
0799 SUN GROVES,rep
0516 MILKY WAY,rep
0398 IVANHOE,rep
0046 AZALEA,rep
0870 VERRADO,rep
0136 CLEARVIEW,rep
0686 RIATA,rep
0384 HOPEVILLE,rep
0745 SHADOW ROCK,rep
0066 BLOOM,rep
0892 WEST POINT,rep
0115 CAVE BUTTES,rep
0909 WIER,rep
0606 PALM VALLEY,rep
0832 THUNDERHILL,rep
0515 MICHELLE,rep
0628 PECOS,rep
0084 BULLMOOSE,rep
0481 MAGGIE,rep
0521 MIRADA,rep
0526 MOHAWK,other
0605 PALM SHADOWS,other
0824 SWEETWATER,rep
0656 PORTER,rep
0095 CAMELOT,rep
0536 MOUNTAIN GATE,rep
0642 PIMA,rep
0071 BLUEJAY,other
0506 MCQUEEN,rep
0222 DESERT VISTA,rep
0545 MYSTIC,rep
0454 LISBON,other
0827 TARTESSO,other
0667 QUAIL RUN,rep
0418 KENLY FARMS,other
0247 DYSART,rep
0292 FOXWOOD,rep
0100 CANTERBURY,rep
0047 AZTEC SPRINGS,rep
0502 MCDONALD,rep
0195 DALLAS,other
0315 GILBERT,other
0387 HORSESHOE,rep
0684 RESERVE,rep
0178 COYOTE BASIN,rep
0841 TOPEKA,rep
0670 RAINBOW VALLEY,other
0322 GOLD DUST,rep
0153 COMPADRE,rep
0918 WILLOW,rep
0050 BANFF,other
0874 VILLA RITA,rep
0465 LONGHORN,rep
0728 SAN VICTOR,rep
0122 CHAPARRAL,rep
0154 COMSTOCK,rep
0038 ASPEN,other
0786 ST MORITZ,other
0130 CIELO GRANDE,other
